Collection,ShelvingUnit,CallNumber,CoordX,CoordY
General CollectionF2,228A,A,80,100
General CollectionF2,228B,AI3 A278 1975 pt.1,80,100
General CollectionF2,229A,B72 Q85 2002,80,110
General CollectionF2,229B,B620  E5 E8,80,110
General CollectionF2,230A,B843 B36 1991,80,120
General CollectionF2,230B,B1641 G483 S77 1989,80,120
General CollectionF2,231A,B2948 A3213 1993,80,130
General CollectionF2,231B,B4372 E5 1978,80,140
General CollectionF2,232A,BD241 B33 1978,80,140
General CollectionF2,232B,BF95 B57 1993,80,140
General CollectionF2,233A,BF233 A24 1990,110,150
General CollectionF2,233B,BF683 M2 1975,110,150
General CollectionF2,234A,BH39 A286 1997,110,157
General CollectionF2,234B,BL263 B745 2012,110,157
General CollectionF2,235A,BP172 P3,110,163
General CollectionF2,235B,BR331 A325 1983,110,163
General CollectionF2,236A,BS1235 A8413 1991,110,170
General CollectionF2,236B,BV845 B37 1970,110,170
General CollectionF2,237A,BX4810 G28,110,176
General CollectionF2,237B,CB245 A86 1988,110,176
General CollectionF2,238A,D1 A66,110,183
General CollectionF2,238B,D360 W3,110,183
General CollectionF2,239A,D763 N4 M3 1970,110,189
General CollectionF2,239B,DA1 B87 1983,110,189
General CollectionF2,240A,DA355 W26 1946,110,196
General CollectionF2,240B,DA566.9 C2 A3 1972,110,196
General CollectionF2,241A,DC73 A2 R39 1976,110,202
General CollectionF2,241B,DD240 C5 1964,110,202
General CollectionF2,242A,DG210 A12 1996,110,209
General CollectionF2,242B,DK220 B48 1991,110,209
General CollectionF2,243A,DP203 C3 1982,110,215
General CollectionF2,243B,DS119.7 Q69 1971,110,215
General CollectionF2,244A,DS509 B37 1999,110,222
General CollectionF2,244B,DS777.57 M3,110,222
General CollectionF2,245A,DT352 B313 1966A,110,228
General CollectionF2,245B,E78 W3 G52 1985,110,228
General CollectionF2,246A,E169.1 E23 1966,110,235
General CollectionF2,246B,E183.7 C24 1993,110,235
General CollectionF2,247A,E185.61 W13,110,241
General CollectionF2,247B,E302.6 A2 C36 1976,110,241
General CollectionF2,248A,E451 A55 1972,110,248
General CollectionF2,248B,E661 O46 1999,110,248
General CollectionF2,249A,E757 P967 1956,110,254
General CollectionF2,249B,F2.3 F42 1973,110,254
General CollectionF2,250A,F466 V79 1951,110,261
General CollectionF2,250B,F1001 C2152 1978,110,261
General CollectionF2,251A,F1783 C215 1972,110,267
General CollectionF2,251B,G1811 F9 K5 1968,110,267
General CollectionF2,252A,GN575 C6 1972,110,274
General CollectionF2,252B,GT524 L3 1961A,110,274
General CollectionF2,253A,GV436 A4,110,280
General CollectionF2,253B,GV838 C49 A33,110,280
General CollectionF2,254A,GV1555 G74,110,287
General CollectionF2,254B,H62 M222,110,287
General CollectionF2,255A,HA203 A22 1980,110,293
General CollectionF2,255B,HB119 T83 A3 1992,110,293
